        Pin Assignment Report - Prepared - noc_2d_ref_design_top
        ________________________________________________________

ACE -- Achronix CAD Environment -- Version 8.7 -- Build  302850 -- Date 2022-03-17 11:00

Design: noc_2d_ref_design_top - impl_1 - noc_2d_ref_design_top
Device: AC7t1500ES0
Generated on Wed Jul 13 15:36:55 CST 2022
Host: OMEN.localdomain

Pin Assignment =======

   Port Name                Direction  Pad/Macro                     Placed  Device Port                 Pad/Macro Site                                           Registered  Clock Domain             Target Frequency (MHz) 
   i_send_clk               IN         i_send_clk_ipin               Fixed   i_user_06_00_trunk_00[0]    u_ic_south.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[0]    No          i_send_clk               500                    
   i_chk_clk                IN         i_chk_clk_ipin                Fixed   i_user_06_00_trunk_00[16]   u_ic_south.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[16]   No          i_chk_clk                499                    
   i_reg_clk                IN         i_reg_clk_ipin                Fixed   i_user_06_00_trunk_00[1]    u_ic_south.u_ic_ns_tc0.u_ic_ns_trunktile.gclk_ipin[1]    No          i_reg_clk                200                    
   pll_send_clk_lock        IN         pll_send_clk_lock_ipin        Fixed   i_user_00_01_lut_17[0]      u_ic_west.u_ic_ew_lc00.u_ic_ew_luttile17.sg.slc0.ipin    No          ---                      ---                    
   pll_chk_clk_lock         IN         pll_chk_clk_lock_ipin         Fixed   i_user_12_01_lut_17[0]      u_ic_east.u_ic_ew_lc00.u_ic_ew_luttile17.sg.slc0.ipin    No          ---                      ---                    
   ext_gpio_fpga_in[7]      IN         ext_gpio_fpga_in[7]_ipin      Fixed   i_user_11_09_lut_15[15]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile15.sg.slc15.ipin  No          ---                      ---                    
   ext_gpio_fpga_in[6]      IN         ext_gpio_fpga_in[6]_ipin      Fixed   i_user_11_09_lut_15[7]      u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile15.sg.slc7.ipin   No          ---                      ---                    
   ext_gpio_fpga_in[5]      IN         ext_gpio_fpga_in[5]_ipin      Fixed   i_user_11_09_lut_14[27]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile14.sg.slc27.ipin  No          ---                      ---                    
   ext_gpio_fpga_in[4]      IN         ext_gpio_fpga_in[4]_ipin      Fixed   i_user_11_09_lut_14[19]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile14.sg.slc19.ipin  No          ---                      ---                    
   ext_gpio_fpga_in[3]      IN         ext_gpio_fpga_in[3]_ipin      Fixed   i_user_11_09_lut_14[11]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile14.sg.slc11.ipin  No          ---                      ---                    
   ext_gpio_fpga_in[2]      IN         ext_gpio_fpga_in[2]_ipin      Fixed   i_user_11_09_lut_14[3]      u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile14.sg.slc3.ipin   No          ---                      ---                    
   ext_gpio_fpga_in[1]      IN         ext_gpio_fpga_in[1]_ipin      Fixed   i_user_11_09_lut_13[23]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile13.sg.slc23.ipin  No          ---                      ---                    
   ext_gpio_fpga_in[0]      IN         ext_gpio_fpga_in[0]_ipin      Fixed   i_user_11_09_lut_13[15]     u_ic_north.u_ic_ns_lc09.u_ic_ns_luttile13.sg.slc15.ipin  No          ---                      ---                    
