
. Module name, LUT4, LUT6, DFF, ALU8, BRAM, LRAM, MLP, PADS
. mlp_conv2d_top, 128, 401, 3006, 41, 62, 0, 60, 0
.	. dataflow_control_Z3017380, 72, 82, 329, 28, 0, 0, 0, 0
.	. line_fifo_144s_10s, 1, 0, 10, 2, 2, 0, 0, 0
.	. mlp_wrapper_multi_144s_10s_64s_60s_4s, 0, 64, 1229, 0, 60, 0, 60, 0
.	.	. dot_product_16_8x8_multi_60s_4s_16s_8s_16s_8s_10s_48s_4s, 0, 64, 1229, 0, 60, 0, 60, 0
.	.	.	. ACX_BRAM72K_Z1179340_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1179340_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1179340_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1179340_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1842800_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1842800_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1842800_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z1842800_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2043780_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2043780_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2043780_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2043780_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2117110_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2117110_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2117110_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2117110_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2244760_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z2244760_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3097350_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3097350_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3097350_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3097350_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3298330_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3298330_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3298330_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3298330_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3499310_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3499310_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3499310_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3499310_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3700290_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3700290_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3700290_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3700290_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3901270_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3901270_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3901270_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z3901270_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4363750_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4363750_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4363750_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4363750_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4564730_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4564730_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4564730_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4564730_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4765710_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z4765710_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z576400_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z576400_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z576400_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z576400_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z777380_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z777380_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z777380_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z777380_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z978360_0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z978360_1, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z978360_2, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_BRAM72K_Z978360_3, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ACX_MLP72_Z3135810, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_1, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_1, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_10, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_11, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_12, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_13, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_14, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_15, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_16, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_18, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_19, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_20, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_21, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_22, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_23, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_24, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_25, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_26, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_27, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_28, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_29, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_3, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_30, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_31, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_32, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_33, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_34, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_35, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_36, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_37, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_38, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_39, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_4, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_40, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_41, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_42, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_43, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_44, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_45, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_46, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_47, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_48, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_49, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_5, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_50, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_6, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_7, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_8, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z3135810_49_9, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z4778600, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. ACX_MLP72_Z4778600_0, 0, 0, 0, 0, 0, 0, 1, 0
