# User Mode 0 Bitstream Sequence
##############################
# Data for QCM_NW
# CMD  ADDRESS      DATA
w      08050000080    00000000
w      08050000084    00000000
w      08050000088    bc000000
w      0805000008c    00000000
w      08050000090    00000000
w      08050000094    bc000000
w      08050000018    00004000
w      08050000020    00000004
w      08050000034    00000004
w      08050000048    00000004
w      0805000005c    00000004
##############################
# Data for QCM_SW
# CMD  ADDRESS      DATA
w      08040000080    00000000
w      08040000084    00000000
w      08040000088    bc000000
w      0804000008c    00000000
w      08040000090    00000000
w      08040000094    bc000000
w      08040000018    00004000
w      08040000020    00000004
w      08040000034    00000004
w      08040000048    00000004
w      0804000005c    00000004
##############################
# Data for QCM_NE
# CMD  ADDRESS      DATA
w      08150000080    00000d32
w      08150000084    00000000
w      08150000088    c0000000
w      0815000008c    00000d32
w      08150000090    00000000
w      08150000094    c0000000
w      08150000018    00004000
w      08150000020    00000004
w      08150000034    00000004
w      08150000048    00000004
w      0815000005c    00000004
##############################
# Data for QCM_SE
# CMD  ADDRESS      DATA
w      08140000080    00000000
w      08140000084    00000000
w      08140000088    bc000000
w      0814000008c    00000000
w      08140000090    00000000
w      08140000094    bc000000
w      08140000018    00004000
w      08140000020    00000004
w      08140000034    00000004
w      08140000048    00000004
w      0814000005c    00000004
##############################
# Data for PLL_NE_0
# CMD  ADDRESS      DATA
w      0815000001c    1b580000
w      08150000020    00000000
w      08150000024    8081404c
w      08150000028    87058280
w      0815000002c    0000000b
w      08150000074    00000000
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      08070000000    7ff7bfef
w      08070000004    7ff7bfef
w      08070000008    7ff7bfef
w      0807000000c    7ff7bfef
w      08070000010    fdef7bde
w      08070000014    000001ff
w      08070000018    000001ff
w      0807000001c    000001ff
w      08070000020    000001ff
w      08070000024    46d6000f
w      08070000028    20000000
w      0807000002c    1c000001
w      08070000038    46d6000f
w      0807000003c    20000000
w      08070000040    1c000001
w      08070000050    00000000
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      08060000000    ef7bdef7
w      08060000004    7ff7bfef
w      08060000008    7ff7bfef
w      0806000000c    7ff7bfef
w      08060000010    7ff7bfef
w      08060000014    000001ff
w      08060000018    000001ff
w      0806000001c    000001ff
w      08060000020    000001ff
w      08060000024    46d6000f
w      08060000028    20000000
w      0806000002c    1c000001
w      08060000038    46d6000f
w      0806000003c    20000000
w      08060000040    1c000001
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      08170000000    7ff7bfef
w      08170000004    7ff7bfef
w      08170000008    7ff7bfef
w      0817000000c    7ff7bfef
w      08170000010    fbdef7bd
w      08170000014    000001fe
w      08170000018    000001fe
w      0817000001c    000001fe
w      08170000020    000001fe
w      08170000024    46d6000f
w      08170000028    20000000
w      0817000002c    1c000001
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      08160000000    f7bdef7b
w      08160000004    7ff7bfef
w      08160000008    7ff7bfef
w      0816000000c    7ff7bfef
w      08160000010    7ff7bfef
w      08160000014    000001fe
w      08160000018    000001fe
w      0816000001c    000001fe
w      08160000020    000001fe
w      08160000024    46d6000f
w      08160000028    20000000
w      0816000002c    1c000001
w      0816000003c    00000000
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      080a0000000    7ff7bfef
w      080a0000004    7ff7bfef
w      080a0000008    7ff7bfef
w      080a000000c    7ff7bfef
w      080a0000010    7ff7bfef
w      080a0000014    7ff7bfef
w      080a0000018    7ff7bfef
w      080a000001c    7ff7bfef
w      080a0000020    7ff7bfef
w      080a0000024    7ff7bfef
w      080a0000028    46d6000f
w      080a000002c    20000000
w      080a0000030    1c000001
##############################
# Data for NOC
# CMD  ADDRESS      DATA
w      081e0000000    7ff7bfef
w      081e0000004    7ff7bfef
w      081e0000008    7ff7bfef
w      081e000000c    7ff7bfef
w      081e0000010    7ff7bfef
w      081e0000014    7ff7bfef
w      081e0000018    7ff7bfef
w      081e000001c    7ff7bfef
w      081e0000020    7ff7bfef
w      081e0000024    7ff7bfef
w      081e0000028    00000280
w      081e000002c    00000280
w      081e0000030    00000280
w      081e0000034    00000280
w      081e0000038    00000280
w      081e000003c    00000280
w      081e0000040    00000280
w      081e0000044    00000280
w      081e0000048    00000280
w      081e000004c    00000280
w      081e0000050    86d6000f
w      081e0000054    60000003
w      081e0000058    14000009
w      081e0000064    46d6000f
w      081e0000068    20000000
w      081e000006c    1c000001
##############################
# Data for CLKIO_NE
# CMD  ADDRESS      DATA
w      08150000018    000041d0
w      08150000098    32020102
w      0815000009c    3f8a0c80
w      081500000a0    007f03f8
w      081500000a4    0000000e
w      0815000009c    3f8a8c80
w      0815000009c    3f8acc80
w      0815000006c    00000000
##############################
