##############################
# Data for GPIO_N_B0
# CMD  ADDRESS      DATA
w      081d0000000    00000000
w      081d0000004    00000000
w      081d0000008    00000001
w      081d000000c    00000001
w      081d0000010    00000001
w      081d0000014    00000000
w      081d0000018    00000000
w      081d000001c    00000000
w      081d0000020    00000000
w      081d0000028    00000000
w      081d000002c    00000000
w      081d0000034    00000000
w      081d000003c    00000000
w      081d0000040    00000000
w      081d0000044    00000000
w      081d0000048    00000000
w      081d000004c    00000000
w      081d0000050    00000000
w      081d0000054    00000000
w      081d0000050    00000000
w      081d0000060    00000000
w      081d0080000    00000000
w      081d0080004    00000001
w      081d0080008    00000001
w      081d008000c    00000000
w      081d0080010    00000007
w      081d0080014    00000003
w      081d0080018    00000000
w      081d008001c    00000001
w      081d0080020    00000000
w      081d0100000    00000000
w      081d0100004    00000001
w      081d0100008    00000001
w      081d010000c    00000000
w      081d0100010    00000007
w      081d0100014    00000003
w      081d0100018    00000000
w      081d010001c    00000001
w      081d0100020    00000000
w      081d0180000    00000001
w      081d0180004    00000000
w      081d0180008    00000001
w      081d018000c    00000000
w      081d0180010    00000007
w      081d0180014    00000003
w      081d0180018    00000000
w      081d018001c    00000001
w      081d0180020    00000000
w      081d0200000    00000001
w      081d0200004    00000000
w      081d0200008    00000001
w      081d020000c    00000000
w      081d0200010    00000007
w      081d0200014    00000003
w      081d0200018    00000000
w      081d020001c    00000001
w      081d0200020    00000000
w      081d0280000    00000000
w      081d0280004    00000000
w      081d0280008    00000000
w      081d028000c    00000000
w      081d0280010    00000007
w      081d0280014    00000000
w      081d0280018    00000000
w      081d028001c    00000000
w      081d0280020    00000000
w      081d0300000    00000000
w      081d0300004    00000000
w      081d0300008    00000000
w      081d030000c    00000000
w      081d0300010    00000007
w      081d0300014    00000000
w      081d0300018    00000000
w      081d030001c    00000000
w      081d0300020    00000000
w      081d0380000    00000000
w      081d0380004    00000000
w      081d0380008    00000000
w      081d038000c    00000000
w      081d0380010    00000007
w      081d0380014    00000000
w      081d0380018    00000000
w      081d038001c    00000000
w      081d0380020    00000000
w      081d0400000    00000000
w      081d0400004    00000000
w      081d0400008    00000000
w      081d040000c    00000000
w      081d0400010    00000007
w      081d0400014    00000000
w      081d0400018    00000000
w      081d040001c    00000000
w      081d0400020    00000000
w      081d0480000    00000000
w      081d0480004    00000000
w      081d0480008    00000000
w      081d048000c    00000000
w      081d0480010    00000007
w      081d0480014    00000000
w      081d0480018    00000000
w      081d048001c    00000000
w      081d0480020    00000000
w      081d0500000    00000000
w      081d0500004    00000000
w      081d0500008    00000000
w      081d050000c    00000000
w      081d0500010    00000007
w      081d0500014    00000000
w      081d0500018    00000000
w      081d050001c    00000000
w      081d0500020    00000000
w      081d0580000    00000000
w      081d0580004    00000000
w      081d0580008    00000000
w      081d058000c    00000000
w      081d0580010    00000007
w      081d0580014    00000000
w      081d0580018    00000000
w      081d058001c    00000000
w      081d0580020    00000000
w      081d0600000    00000000
w      081d0600004    00000000
w      081d0600008    00000000
w      081d060000c    00000000
w      081d0600010    00000007
w      081d0600014    00000000
w      081d0600018    00000000
w      081d060001c    00000000
w      081d0600020    00000000
w      081d0680000    0000001f
w      081d0680008    00000001
w      081d0680004    00000001
w      081d3000004    0000236f
w      081d3000018    00000000
w      081d3000020    00000003
w      081d3000024    00000001
w      081d3000030    0000000f
w      081d3000034    00001fff
w      081d3000038    00001fff
w      081d300002c    00000001
w      081d300001c    00000000
w      081d300001c    00000000
w      081d3000028    00000000
w      081d3000018    00000001
w      081d000003c    00000000
w      081d0000040    00000000
w      081d000004c    00000000
w      081d0000050    00000000
w      081d000003c    00000000
w      081d0000040    00000000
w      081d0000068    000000ff
w      081d0000024    00000000
w      081d0000030    00000000
w      081d0000038    00000003
w      081d3000010    00000001
